序号,提交答卷时间,所用时间,来源,来自IP,1、您的年龄：,2、性别：,3、月收入:,4、职业：,5、学历：,6、居住地：,7、您的籍贯是否为湖南地区：,8、您是否线下观看过浏阳烟花,9、您认为传承浏阳烟花重要性：,10、您对浏阳烟花是否感兴趣：,11、您对于浏阳烟花是否了解：,12、您更喜欢哪一类浏阳烟花产品,13、您更喜欢哪种浏阳烟花演出形式,14、您对浏阳烟花的满意程度—造型,14、色彩,14、节奏,14、配乐,14、创意,14、主题,14、观赏环境,14、燃放效果,14、欣赏难度,14、宣传工作,14、价格,14、安全隐患,14、环保指标,15、您主要是通过哪些途径接触和了解到浏阳烟花的？(线下节庆现场观赏),15、(电视烟花晚会/直播),15、(短视频),15、(亲友同事分享),15、(线下/电商购买烟花),15、(新闻媒体报道),15、(文旅宣传/景区推荐),15、(其他（请注明）),15、(从未了解过),16、您认为浏阳烟花与哪些形式结合更利于它的传承与发展(文旅融合（烟花观赏＋景区游览）),16、(节庆赛事（烟花晚会＋特色节庆）),16、(数字传播（短视频＋直播实景）),16、(非遗科普（研学体验+文化讲解）),16、(文创开发（烟花周边＋文创产品）),16、(科技赋能（智能烟花+特效研发）),16、(跨界合作（影视综艺+品牌联名）),16、(其他（自填）),17、请选择符合您实际情况的选项—欣赏浏阳烟花非遗展演是文化素养的体现,17、观看浏阳烟花创意秀会给您带来愉悦体验,17、了解浏阳烟花会让您收获传统文化认知,17、参与浏阳烟花活动能助力其非遗传承与产业发展,18、请选择符合您实际情况的选项—家中长辈参与浏阳烟花非遗活动，会带动您参与,18、亲朋好友推荐浏阳烟花活动，会促使您一同参与,18、媒体对浏阳烟花的宣传，会吸引您关注相关活动,18、明星/博主推广浏阳烟花，会提升您的参与兴趣,19、请选择符合您实际情的选项—您有时间参与浏阳烟花非遗相关活动,19、您能承担浏阳烟花展演门票、文创产品的费用,19、您具备欣赏浏阳烟花非遗艺术特色的审美能力,20、请根据您的实际情况，选择最符合您态度的选项：—您愿意了解浏阳烟花的相关知识,20、您愿意参与免费的浏阳烟花相关活动,20、您愿意参与付费的浏阳烟花相关活动,20、您愿意对浏阳烟花进行宣传,21、在过去一年中，您参与以下浏阳烟花相关活动的频率为—现场观看浏阳烟花节、主题烟花秀或大型烟花无人机表演,21、通过短视频、直播平台观看浏阳烟花相关内容,21、关注与浏阳烟花相关的官方账号、媒体报道或纪录片,21、参观浏阳烟花博物馆、非遗工坊或生产展示基地,21、参与浏阳烟花主题的文旅活动、研学项目或文化节,21、购买或收藏浏阳烟花主题文创产品或纪念品,22、您可以接受一年内在浏阳烟花相关文化活动或产品上的支出为：,23、本题请选D,所用时间_数值
1,2026/2/24 19:13:14,224秒,微信,49.71.158.5(江苏-泰州),4,2,1,2,3,9,1,1,3,3,2.0,3.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,4,4,4,4,4,5,4,5,4,3,5,4,5,3,4,3,3,2,3,3,4,1,4,224
2,2026/2/24 19:13:37,167秒,微信,183.142.255.102(浙江-湖州),3,2,2,2,4,8,1,1,4,4,5.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,4.0,5.0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,2,4,2,2,5,2,3,1,4,4,4,3,2,2,3,4,3,5,4,4,2,1,4,167
3,2026/2/24 19:14:09,214秒,微信,49.71.143.203(江苏-泰州),2,1,3,1,3,2,1,1,4,3,4.0,4.0,1.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,2.0,5.0,3.0,3.0,4.0,4.0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,4,3,4,3,3,3,2,3,4,4,4,5,3,4,5,4,4,4,4,3,1,3,4,214
4,2026/2/24 19:14:22,220秒,微信,180.113.105.62(江苏-无锡),2,1,4,1,4,2,1,1,3,3,4.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,2.0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,4,4,3,4,4,4,3,5,5,5,5,4,3,4,4,4,2,4,4,4,3,1,4,220
5,2026/2/24 19:14:45,165秒,微信,220.190.58.241(浙江-温州),2,2,2,2,3,6,2,2,5,5,5.0,4.0,2.0,3.0,5.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,4.0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,4,3,4,5,5,4,4,4,4,4,4,1,2,1,1,4,3,4,3,4,4,1,4,165
6,2026/2/24 19:15:06,198秒,微信,114.232.122.142(江苏-南通),4,2,2,2,2,7,1,1,4,4,5.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,3,3,2,3,2,2,1,2,4,4,3,3,3,3,3,3,3,4,3,4,2,2,4,198
7,2026/2/24 19:15:40,166秒,微信,117.90.146.54(江苏-镇江),3,2,3,2,3,8,1,2,3,3,2.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,3,3,3,2,4,5,4,4,3,4,3,4,5,4,3,3,3,3,3,3,5,3,4,166
8,2026/2/24 19:15:50,159秒,微信,122.246.204.51(浙江-宁波),3,1,3,3,4,5,2,1,3,3,3.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,4,4,3,4,5,5,5,5,5,5,5,3,3,3,3,4,3,4,3,4,5,2,4,159
10,2026/2/24 19:16:23,195秒,微信,114.229.63.146(江苏-镇江),3,1,3,2,4,7,1,1,5,5,5.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,2,2,2,3,2,2,2,2,4,4,4,3,3,3,3,3,3,3,3,3,5,3,4,195
13,2026/2/24 19:18:02,230秒,微信,121.61.18.66(湖北-咸宁),2,2,1,2,4,2,1,1,5,5,5.0,5.0,2.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,4,5,4,4,5,5,5,4,5,5,5,5,5,5,5,4,3,4,4,4,4,4,4,230
14,2026/2/24 19:18:12,154秒,微信,183.141.12.115(浙江-嘉兴),3,2,2,4,2,2,1,1,2,3,2.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,2,1,1,2,1,1,3,1,2,2,2,3,3,1,3,2,1,2,2,2,2,5,4,154
15,2026/2/24 19:18:30,175秒,微信,124.115.147.239(陕西-宝鸡),4,2,2,2,5,2,1,2,4,4,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,4,3,4,4,4,4,4,5,5,5,2,2,2,2,4,4,4,5,2,3,5,4,175
16,2026/2/24 19:18:50,122秒,微信,60.167.90.146(安徽-芜湖),2,1,4,2,4,1,1,2,3,3,3.0,2.0,1.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,3,3,3,2,4,3,4,4,3,3,1,4,2,4,4,5,5,3,5,5,5,2,4,122
17,2026/2/24 19:19:14,224秒,微信,220.190.55.122(浙江-温州),2,2,3,2,1,3,1,1,5,5,5.0,5.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,3,3,4,2,4,4,4,5,5,4,5,4,5,4,4,4,4,4,4,4,4,2,4,224
18,2026/2/24 19:19:35,131秒,微信,125.119.67.82(浙江-杭州),2,1,3,2,3,9,1,2,3,3,3.0,3.0,1.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,4,5,5,4,4,4,4,3,3,3,3,5,3,5,5,4,4,3,4,5,5,5,4,131
19,2026/2/24 19:20:02,175秒,微信,115.207.209.43(浙江-湖州),2,1,4,2,3,9,1,1,4,4,4.0,4.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,4,5,5,4,4,5,4,5,3,3,3,4,5,4,4,4,4,5,4,4,4,2,4,175
20,2026/2/24 19:20:20,229秒,微信,112.250.131.92(山东-日照),3,2,2,2,4,2,1,1,5,5,5.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,5,5,5,5,5,5,5,5,3,3,3,2,2,3,2,4,4,1,4,4,5,1,4,229
22,2026/2/24 19:20:53,209秒,微信,111.226.101.37(河北-邯郸),2,1,2,1,3,2,1,1,5,3,5.0,5.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,4,4,4,4,3,2,3,5,4,4,5,3,3,3,3,4,3,3,4,4,4,2,4,209
24,2026/2/24 19:21:21,156秒,微信,183.7.131.184(广东-汕头),4,1,2,2,4,9,2,2,4,4,4.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,4,1,4,4,5,5,5,4,5,5,4,3,3,4,3,5,5,5,5,5,5,2,4,156
25,2026/2/24 19:21:50,198秒,微信,117.60.232.132(江苏-淮安),2,2,3,2,2,9,2,1,4,4,4.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,2.0,5.0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,4,4,4,3,5,5,5,5,5,5,4,4,3,4,3,5,5,5,5,5,4,3,4,198
26,2026/2/24 19:22:19,148秒,微信,123.244.90.141(辽宁-朝阳),4,2,4,2,2,2,1,2,4,5,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,3,3,3,5,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,148
28,2026/2/24 19:23:01,206秒,微信,175.154.26.28(四川-泸州),2,1,3,2,3,9,1,2,3,3,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,2,2,2,1,2,2,2,2,2,2,3,3,3,3,1,1,2,1,3,1,2,4,206
29,2026/2/24 19:23:22,158秒,微信,220.190.48.219(浙江-温州),2,1,3,2,4,4,1,1,5,5,4.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,4,4,3,5,5,5,4,5,4,4,4,4,5,4,4,5,5,5,5,5,3,4,4,158
